Timestamp,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
2025-09-03 13:05:11.208,-1636412,-4747925,-6825411,-7869198,2,2,2,2
2025-09-03 13:05:11.210,-3733759,-6828600,-6841632,-3675015,2,2,2,2
2025-09-03 13:05:11.211,-1636290,-6844919,-2630659,-7869035,2,2,2,2
2025-09-03 13:05:11.214,-1636201,-6844799,-2638986,-7869164,2,2,2,2
2025-09-03 13:05:11.216,-1636361,-6844959,-2638955,-7869136,2,2,2,2
2025-09-03 13:05:11.219,-1636486,-6828681,-6841574,-3683074,2,2,2,2
2025-09-03 13:05:11.222,-1636359,-4747784,-6825001,-7869052,2,2,2,2
2025-09-03 13:05:11.224,-1636238,-6844820,-2647289,-7868932,2,2,2,2
2025-09-03 13:05:11.227,-1636225,-6828405,-6841244,-3682797,2,2,2,2
2025-09-03 13:05:11.229,-1636350,-6844918,-2647066,-7868960,2,2,2,2
2025-09-03 13:05:11.232,-1636043,-6844641,-2630412,-7868687,2,2,2,2
2025-09-03 13:05:11.235,-1636159,-2650478,-6824917,-7868820,2,2,2,2
2025-09-03 13:05:11.238,-1636231,-6828344,-6841244,-7868823,2,2,2,2
2025-09-03 13:05:11.240,-1636252,-6844875,-6841322,-7868903,2,2,2,2
2025-09-03 13:05:11.244,-3733392,-6828412,-6841247,-3674511,2,2,2,2
2025-09-03 13:05:11.246,-1636206,-6844702,-2638711,-7868721,2,2,2,2
2025-09-03 13:05:11.248,-1636091,-6844574,-6824706,-7868923,2,2,2,2
2025-09-03 13:05:11.251,-1636331,-2650505,-6841325,-7868898,2,2,2,2
2025-09-03 13:05:11.253,-1636214,-2650388,-6841149,-7868781,2,2,2,2
2025-09-03 13:05:11.256,-1636076,-6828156,-6841330,-3682707,2,2,2,2
2025-09-03 13:05:11.259,-1636104,-2650345,-6824717,-7868921,2,2,2,2
2025-09-03 13:05:11.261,-1636193,-6844670,-2646882,-7868682,2,2,2,2
2025-09-03 13:05:11.264,-1635969,-6844446,-2646910,-7868705,2,2,2,2
2025-09-03 13:05:11.267,-1636068,-6844522,-2646940,-7868719,2,2,2,2
2025-09-03 13:05:11.269,-1636038,-4747273,-6824904,-7868697,2,2,2,2
2025-09-03 13:05:11.272,-1635967,-6844418,-2646902,-7868688,2,2,2,2
2025-09-03 13:05:11.274,-1635920,-6844658,-2638692,-7868666,2,2,2,2
2025-09-03 13:05:11.277,-3732993,-6828169,-6841079,-3682442,2,2,2,2
2025-09-03 13:05:11.280,-3733240,-6828156,-6841073,-3674230,2,2,2,2
2025-09-03 13:05:11.283,-1635893,-6844400,-6824477,-7868649,2,2,2,2
2025-09-03 13:05:11.287,-1635889,-4747168,-6824502,-7868568,2,2,2,2
2025-09-03 13:05:11.289,-1636045,-6844405,-6824525,-7868657,2,2,2,2
2025-09-03 13:05:11.291,-1635839,-6844206,-4743911,-7868486,2,2,2,2
2025-09-03 13:05:11.294,-1635803,-6844411,-6824572,-7868399,2,2,2,2
2025-09-03 13:05:11.297,-1635811,-6828030,-6840962,-3674102,2,2,2,2
2025-09-03 13:05:11.299,-1635829,-6844185,-2638487,-7868425,2,2,2,2
2025-09-03 13:05:11.302,-1635802,-4747261,-6824571,-7868397,2,2,2,2
2025-09-03 13:05:11.304,-1635637,-4747158,-6824508,-7868289,2,2,2,2
2025-09-03 13:05:11.308,-1635693,-2649987,-6840842,-7868278,2,2,2,2
2025-09-03 13:05:11.310,-1635587,-6844258,-2646425,-7868164,2,2,2,2
2025-09-03 13:05:11.313,-1635588,-6844261,-2638321,-7868173,2,2,2,2
2025-09-03 13:05:11.315,-1635786,-6844168,-2638234,-7868386,2,2,2,2
2025-09-03 13:05:11.318,-1635628,-4746874,-6824199,-7868190,2,2,2,2
2025-09-03 13:05:11.321,-1635837,-6844168,-2646500,-7868388,2,2,2,2
2025-09-03 13:05:11.324,-1635690,-2649703,-6840583,-7868175,2,2,2,2
2025-09-03 13:05:11.326,-1635559,-6844141,-2638209,-7868103,2,2,2,2
2025-09-03 13:05:11.329,-3732744,-6827521,-6840803,-7868063,2,2,2,2
2025-09-03 13:05:11.332,-1635592,-6844170,-6840731,-7868315,2,2,2,2
2025-09-03 13:05:11.334,-1635784,-6844042,-6824296,-7868263,2,2,2,2
2025-09-03 13:05:11.337,-1635817,-6844114,-6840699,-7868276,2,2,2,2
2025-09-03 13:05:11.340,-1635701,-2641513,-6840581,-7868159,2,2,2,2
2025-09-03 13:05:11.342,-1635559,-6827723,-6840687,-7867931,2,2,2,2
2025-09-03 13:05:11.345,-1635560,-6844042,-2646379,-7867932,2,2,2,2
2025-09-03 13:05:11.348,-1635540,-4746609,-6823991,-7867896,2,2,2,2
2025-09-03 13:05:11.351,-1635563,-6843846,-4743294,-7867922,2,2,2,2
2025-09-03 13:05:11.353,-1635389,-4746516,-6824186,-7867803,2,2,2,2
2025-09-03 13:05:11.357,-1635451,-2649376,-6840573,-7867876,2,2,2,2
2025-09-03 13:05:11.360,-1635345,-6843875,-4743312,-7867719,2,2,2,2
2025-09-03 13:05:11.362,-1635458,-2641174,-6840326,-7867805,2,2,2,2
2025-09-03 13:05:11.365,-1635222,-6843682,-6840336,-7867881,2,2,2,2
2025-09-03 13:05:11.367,-3732459,-6827318,-6840425,-3673592,2,2,2,2
2025-09-03 13:05:11.370,-1635348,-6843800,-2629761,-7867667,2,2,2,2
2025-09-03 13:05:11.373,-1635228,-6843677,-4743181,-7867833,2,2,2,2
2025-09-03 13:05:11.375,-1635359,-6843860,-4743308,-7867663,2,2,2,2
2025-09-03 13:05:11.378,-1635259,-6843668,-2637830,-7867851,2,2,2,2
2025-09-03 13:05:11.381,-1635103,-6843542,-6823819,-7867673,2,2,2,2
2025-09-03 13:05:11.384,-1635211,-6827258,-6823908,-3673460,2,2,2,2
2025-09-03 13:05:11.386,-1635326,-6827324,-6840343,-3673575,2,2,2,2
2025-09-03 13:05:11.389,-1635272,-4746476,-6823878,-7867750,2,2,2,2
2025-09-03 13:05:11.392,-1635187,-2649236,-6823897,-7867664,2,2,2,2
2025-09-03 13:05:11.395,-1635199,-2649316,-6823902,-7867673,2,2,2,2
2025-09-03 13:05:11.397,-1635307,-2649096,-6823693,-7867528,2,2,2,2
2025-09-03 13:05:11.400,-1635086,-6827079,-6823803,-3673320,2,2,2,2
2025-09-03 13:05:11.403,-1635284,-6843634,-6823682,-7867495,2,2,2,2
2025-09-03 13:05:11.406,-1635318,-6843643,-4726544,-7867468,2,2,2,2
2025-09-03 13:05:11.408,-1635097,-6843441,-4726654,-7867605,2,2,2,2
2025-09-03 13:05:11.411,-1635109,-4746351,-6823876,-7867541,2,2,2,2
2025-09-03 13:05:11.415,-1635074,-2649100,-6823711,-7867505,2,2,2,2
2025-09-03 13:05:11.417,-1635229,-6843617,-2637814,-7867400,2,2,2,2
